AC,AL,AM,AP,BA,CE,DF,ES,EX,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
Acrelândia,Anadia,Alvarães,Amapá,Abaré,Abaiara,Arniqueira,Afonso Cláudio,,Abadia de Goiás,Afonso Cunha,Abadia dos Dourados,Alcinópolis,Acorizal,Abaetetuba,Aguiar,Abreu e Lima,Acauã,Abatiá,Angra dos Reis,Acari,Alta Floresta D'Oeste,Alto Alegre,Aceguá,Abdon Batista,Amparo do São Francisco,Adamantina,Abreulândia
Assis Brasil,Arapiraca,Amaturá,Calçoene,Abaíra,Acarape,Brasília (Plano Piloto),Alegre,,Abadiânia,Alcântara,Abaeté,Amambai,Alta Floresta,Abel Figueiredo,Alagoa Grande,Afogados da Ingazeira,Agricolândia,Adrianópolis,Aperibé,Afonso Bezerra,Alto Alegre dos Parecis,Amajari,Agudo,Abelardo Luz,Aquidabã,Adolfo,Aguiarnópolis
Brasiléia,Atalaia,Anamã,Cutias,Acajutiba,Acaraú,Brazlândia,Alfredo Chaves,,Acreúna,Aldeias Altas,Abre Campo,Anastácio,Alto Araguaia,Acará,Alagoa Nova,Afrânio,Alagoinha do Piauí,Agudos do Sul,Araruama,Alexandria,Alto Paraíso,Boa Vista,Ajuricaba,Agrolândia,Aracaju,Aguaí,Aliança do Tocantins
Bujari,Barra de Santo Antônio,Anori,Ferreira Gomes,Adustina,Acopiara,Candangolândia,Alto Rio Novo,,Adelândia,Altamira do Maranhão,Acaiaca,Anaurilândia,Alto Boa Vista,Afuá,Alagoinha,Agrestina,Alegrete do Piauí,Almirante Tamandaré,Areal,Almino Afonso,Alvorada D'Oeste,Bonfim,Alecrim,Agronômica,Arauá,Agudos,Almas
Capixaba,Barra de São Miguel,Apuí,Itaubal,Aiquara,Aiuaba,Ceilândia,Anchieta,,Alexânia,Alto Alegre do Maranhão,Aguanil,Angélica,Alto Garças,Alenquer,Alcantil,Alagoinha,Alto Longá,Altamira do Paraná,Armação dos Búzios,Alto do Rodrigues,Ariquemes,Cantá,Alegrete,Alfredo Wagner,Areia Branca,Alambari,Alvorada
Cruzeiro do Sul,Batalha,Atalaia do Norte,Laranjal do Jari,Alagoinhas,Alcântaras,Cruzeiro,Apiacá,,Aloândia,Alto Alegre do Pindaré,Aimorés,Antônio João,Alto Paraguai,Almeirim,Algodão de Jandaíra,Aliança,Altos,Alto Paraná,Arraial do Cabo,Angicos,Buritis,Caracaraí,Alegria,Alto Bela Vista,Barra dos Coqueiros,Alfredo Marcondes,Ananás
Epitaciolândia,Belo Monte,Autazes,Macapá,Alcobaça,Altaneira,Fercal,Aracruz,,Alto Horizonte,Alto Parnaíba,Aiuruoca,Aparecida do Taboado,Alto Taquari,Altamira,Alhandra,Altinho,Alvorada do Gurguéia,Alto Paraíso,Barra Mansa,Antônio Martins,Cabixi,Caroebe,Almirante Tamandaré do Sul,Anchieta,Boquim,Altair,Angico
Feijó,Belém,Barcelos,Mazagão,Almadina,Alto Santo,Gama,Atílio Vivácqua,,Alto Paraíso de Goiás,Amapá do Maranhão,Alagoa,Aquidauana,Apiacás,Anajás,Amparo,Amaraji,Amarante,Alto Piquiri,Barra do Piraí,Apodi,Cacaulândia,Iracema,Alpestre,Angelina,Brejo Grande,Altinópolis,Aparecida do Rio Negro
Jordão,Boca da Mata,Barreirinha,Oiapoque,Amargosa,Amontada,Guará,Baixo Guandu,,Alvorada do Norte,Amarante do Maranhão,Albertina,Aral Moreira,Araguaiana,Ananindeua,Aparecida,Angelim,Angical do Piauí,Altônia,Belford Roxo,Areia Branca,Cacoal,Mucajaí,Alto Alegre,Anita Garibaldi,Campo do Brito,Alto Alegre,Aragominas
Manoel Urbano,Branquinha,Benjamin Constant,Pedra Branca do Amapari,Amélia Rodrigues,Antonina do Norte,Itapoã,Barra de São Francisco,,Amaralina,Anajatuba,Alfenas,Bandeirantes,Araguainha,Anapu,Arara,Araripina,Antônio Almeida,Alvorada do Sul,Bom Jardim,Arês,Campo Novo de Rondônia,Normandia,Alto Feliz,Anitápolis,Canhoba,Alumínio,Araguacema
Marechal Thaumaturgo,Cacimbinhas,Beruri,Porto Grande,América Dourada,Apuiarés,Jardim Botânico,Boa Esperança,,Americano do Brasil,Anapurus,Alfredo Vasconcelos,Bataguassu,Araputanga,Augusto Corrêa,Araruna,Araçoiaba,Anísio de Abreu,Amaporã,Bom Jesus do Itabapoana,Açu,Candeias do Jamari,Pacaraima,Alvorada,Antônio Carlos,Canindé de São Francisco,Alvinlândia,Araguanã
Mâncio Lima,Cajueiro,Boa Vista do Ramos,Pracuúba,Anagé,Aquiraz,Lago Norte,Bom Jesus do Norte,,Amorinópolis,Apicum-Açu,Almenara,Batayporã,Arenápolis,Aurora do Pará,Araçagi,Arcoverde,Aroazes,Ampére,Cabo Frio,Baraúna,Castanheiras,Rorainópolis,Amaral Ferrador,Apiúna,Capela,Americana,Araguatins
Plácido de Castro,Campestre,Boca do Acre,Santana,Andaraí,Aracati,Lago Sul,Brejetuba,,Anhanguera,Araguanã,Alpercata,Bela Vista,Aripuanã,Aveiro,Areia,Barra de Guabiraba,Aroeiras do Itaim,Anahy,Cachoeiras de Macacu,Barcelona,Cerejeiras,São João da Baliza,Ametista do Sul,Arabutã,Carira,Amparo,Araguaçu
Porto Acre,Campo Alegre,Borba,Serra do Navio,Andorinha,Aracoiaba,Núcleo Bandeirante,Cachoeiro de Itapemirim,,Anicuns,Araioses,Alpinópolis,Bodoquena,Barra do Bugres,Bagre,Areia de Baraúnas,Barreiros,Arraial,Andirá,Cambuci,Baía Formosa,Chupinguaia,São Luiz,André da Rocha,Araquari,Carmópolis,Américo Brasiliense,Araguaína
Porto Walter,Campo Grande,Caapiranga,Tartarugalzinho,Angical,Ararendá,Paranoá,Cariacica,,Anápolis,Arame,Alterosa,Bonito,Barra do Garças,Baião,Areial,Belo Jardim,Assunção do Piauí,Antonina,Campos dos Goytacazes,Bento Fernandes,Colorado do Oeste,Uiramutã,Anta Gorda,Araranguá,Cedro de São João,Américo de Campos,Arapoema
Rio Branco,Canapi,Canutama,Vitória do Jari,Anguera,Araripe,Park Way,Castelo,,Aparecida de Goiânia,Arari,Alto Caparaó,Brasilândia,Barão de Melgaço,Bannach,Aroeiras,Belém de Maria,Avelino Lopes,Antônio Olinto,Cantagalo,Bodó,Corumbiara,,Antônio Prado,Armazém,Cristinápolis,Analândia,Arraias
Rodrigues Alves,Capela,Carauari,,Antas,Aratuba,Planaltina,Colatina,,Aparecida do Rio Doce,Axixá,Alto Jequitibá,Caarapó,Bom Jesus do Araguaia,Barcarena,Assunção,Belém do São Francisco,Baixa Grande do Ribeiro,Apucarana,Carapebus,Bom Jesus,Costa Marques,,Arambaré,Arroio Trinta,Cumbe,Andradina,Augustinópolis
Santa Rosa do Purus,Carneiros,Careiro,,Antônio Cardoso,Arneiroz,Recanto das Emas,Conceição da Barra,,Aporé,Açailândia,Alto Rio Doce,Camapuã,Brasnorte,Belterra,Bananeiras,Betânia,Barra D'Alcântara,Arapongas,Cardoso Moreira,Brejinho,Cujubim,,Araricá,Arvoredo,Divina Pastora,Angatuba,Aurora do Tocantins
Sena Madureira,Chã Preta,Careiro da Várzea,,Antônio Gonçalves,Assaré,Riacho Fundo,Conceição do Castelo,,Aragarças,Bacabal,Alvarenga,Campo Grande,Campinápolis,Belém,Baraúna,Bezerros,Barras,Arapoti,Carmo,Caicó,Espigão D'Oeste,,Aratiba,Ascurra,Estância,Anhembi,Axixá do Tocantins
Senador Guiomard,Coité do Nóia,Coari,,Aporá,Aurora,Riacho Fundo II,Divino de São Lourenço,,Aragoiânia,Bacabeira,Alvinópolis,Caracol,Campo Novo do Parecis,Benevides,Barra de Santa Rosa,Bodocó,Barreiras do Piauí,Arapuã,Casimiro de Abreu,Caiçara do Norte,Governador Jorge Teixeira,,Arroio Grande,Atalanta,Feira Nova,Anhumas,Babaçulândia
Tarauacá,Colônia Leopoldina,Codajás,,Apuarema,Baixio,SCIA (Estrutural),Domingos Martins,,Araguapaz,Bacuri,Alvorada de Minas,Cassilândia,Campo Verde,Bom Jesus do Tocantins,Barra de Santana,Bom Conselho,Barro Duro,Araruna,Comendador Levy Gasparian,Caiçara do Rio do Vento,Guajará-Mirim,,Arroio do Meio,Aurora,Frei Paulo,Aparecida,Bandeirantes do Tocantins
Xapuri,Coqueiro Seco,Eirunepé,,Aracatu,Banabuiú,SIA (Setor de Indústria e Abastecimento),Dores do Rio Preto,,Araçu,Bacurituba,Além Paraíba,Chapadão do Sul,Campos de Júlio,Bonito,Barra de São Miguel,Bom Jardim,Batalha,Araucária,Conceição de Macabu,Campo Grande,Itapuã do Oeste,,Arroio do Padre,Balneário Arroio do Silva,Gararu,Aparecida d'Oeste,Barra do Ouro
,Coruripe,Envira,,Araci,Barbalha,Samambaia,Ecoporanga,,Arenópolis,Balsas,Amparo do Serra,Corguinho,Canabrava do Norte,Bragança,Bayeux,Bonito,Bela Vista do Piauí,Ariranha do Ivaí,Cordeiro,Campo Redondo,Jaru,,Arroio do Sal,Balneário Barra do Sul,General Maynard,Apiaí,Barrolândia
,Craíbas,Fonte Boa,,Aramari,Barreira,Santa Maria,Fundão,,Aruanã,Barra do Corda,Andradas,Corumbá,Canarana,Brasil Novo,Baía da Traição,Brejinho,Belém do Piauí,Assaí,Duas Barras,Canguaretama,Ji-Paraná,,Arroio do Tigre,Balneário Camboriú,Gracho Cardoso,Aramina,Bernardo Sayão
